날짜,지역,차수,연령대,지표,값
2021-02-27,경남,3차,5-11세,접종률,0.0
2021-02-27,경남,3차,65세이상,건수,0.0
2021-02-27,경남,3차,65세이상,접종률,0.0
2021-02-27,경남,3차,6개월-4세,건수,0.0
2021-02-27,경남,3차,6개월-4세,접종률,0.0
2021-02-27,경북,1차,12-64세,건수,23.0
2021-02-27,경북,1차,12-64세,접종률,0.03515221599914852
2021-02-27,경북,1차,5-11세,건수,0.0
2021-02-27,경북,1차,5-11세,접종률,0.0
2021-02-27,경북,1차,65세이상,건수,5.0
2021-02-27,경북,1차,65세이상,접종률,0.01227890106983861
2021-02-27,경북,1차,6개월-4세,건수,0.0
2021-02-27,경북,1차,6개월-4세,접종률,0.0
2021-02-27,경북,2차,12-64세,건수,1.0
2021-02-27,경북,2차,12-64세,접종률,0.009435292019411387
2021-02-27,경북,2차,5-11세,건수,0.0
2021-02-27,경북,2차,5-11세,접종률,0.0
2021-02-27,경북,2차,65세이상,건수,0.0
2021-02-27,경북,2차,65세이상,접종률,0.0036207015975165133
2021-02-27,경북,2차,6개월-4세,건수,0.0
2021-02-27,경북,2차,6개월-4세,접종률,0.0
2021-02-27,경북,3차,12-64세,건수,0.0
2021-02-27,경북,3차,12-64세,접종률,0.0
2021-02-27,경북,3차,5-11세,건수,0.0
2021-02-27,경북,3차,5-11세,접종률,0.0
2021-02-27,경북,3차,65세이상,건수,0.0
2021-02-27,경북,3차,65세이상,접종률,0.0
2021-02-27,경북,3차,6개월-4세,건수,0.0
2021-02-27,경북,3차,6개월-4세,접종률,0.0
2021-02-27,광주,1차,12-64세,건수,185.0
2021-02-27,광주,1차,12-64세,접종률,0.3187716950944526
2021-02-27,광주,1차,5-11세,건수,0.0
2021-02-27,광주,1차,5-11세,접종률,0.0
2021-02-27,광주,1차,65세이상,건수,14.0
2021-02-27,광주,1차,65세이상,접종률,0.11976861722459589
2021-02-27,광주,1차,6개월-4세,건수,0.0
2021-02-27,광주,1차,6개월-4세,접종률,0.0
2021-02-27,광주,2차,12-64세,건수,1.0
2021-02-27,광주,2차,12-64세,접종률,0.00467818748304157
